Period,Sig85,GWS
2.06608729549851,78543.4034916061,26450.2461893027
2.45700571202355,80434.5541833495,37781.7096076074
2.92188867434074,82485.6236089248,38911.5956520535
3.47473080077187,84701.246980276,59624.5590880218
4.13217459099701,87080.1802270615,71488.85283749
4.91401142404711,89611.4534732104,103214.9800505
5.84377734868148,92269.1045565093,87868.4729383219
6.94946160154375,95005.889600986,37909.705521072
8.26434918199403,97747.6939409979,39411.3929204549
9.82802284809422,100392.500009337,57282.1919043303
11.687554697363,102819.465529538,65828.400863274
13.8989232030875,104911.556603803,100473.054482145
16.5286983639881,106586.39922684,101025.55941721
19.6560456961884,107819.588843388,32151.5806170528
23.3751093947259,108645.782152052,8136.48388557825
27.797846406175,109138.578893345,9719.23471303466
33.0573967279761,109383.91780704,21111.5795891411
39.3120913923769,109460.288500677,3723.95987913131
