Date,Source,value
1950/01/01,CRU,NA
1950/02/01,CRU,NA
1950/03/01,CRU,NA
1950/04/01,CRU,NA
1950/05/01,CRU,NA
1950/06/01,CRU,NA
1950/07/01,CRU,NA
1950/08/01,CRU,NA
1950/09/01,CRU,NA
1950/10/01,CRU,NA
1950/11/01,CRU,NA
1950/12/01,CRU,NA
1951/01/01,CRU,NA
1951/02/01,CRU,NA
1951/03/01,CRU,NA
1951/04/01,CRU,NA
1951/05/01,CRU,NA
1951/06/01,CRU,NA
1951/07/01,CRU,NA
1951/08/01,CRU,NA
1951/09/01,CRU,NA
1951/10/01,CRU,NA
1951/11/01,CRU,NA
1951/12/01,CRU,NA
1952/01/01,CRU,NA
1952/02/01,CRU,NA
1952/03/01,CRU,NA
1952/04/01,CRU,NA
1952/05/01,CRU,NA
1952/06/01,CRU,NA
1952/07/01,CRU,NA
1952/08/01,CRU,NA
1952/09/01,CRU,NA
1952/10/01,CRU,NA
1952/11/01,CRU,NA
1952/12/01,CRU,NA
1953/01/01,CRU,NA
1953/02/01,CRU,NA
1953/03/01,CRU,NA
1953/04/01,CRU,NA
1953/05/01,CRU,NA
1953/06/01,CRU,NA
1953/07/01,CRU,NA
1953/08/01,CRU,NA
1953/09/01,CRU,NA
1953/10/01,CRU,NA
1953/11/01,CRU,NA
1953/12/01,CRU,NA
1954/01/01,CRU,NA
1954/02/01,CRU,NA
1954/03/01,CRU,NA
1954/04/01,CRU,NA
1954/05/01,CRU,NA
1954/06/01,CRU,NA
1954/07/01,CRU,NA
1954/08/01,CRU,NA
1954/09/01,CRU,NA
1954/10/01,CRU,NA
1954/11/01,CRU,NA
1954/12/01,CRU,NA
1955/01/01,CRU,NA
1955/02/01,CRU,NA
1955/03/01,CRU,NA
1955/04/01,CRU,NA
1955/05/01,CRU,NA
1955/06/01,CRU,NA
1955/07/01,CRU,NA
1955/08/01,CRU,NA
1955/09/01,CRU,NA
1955/10/01,CRU,NA
1955/11/01,CRU,NA
1955/12/01,CRU,NA
1956/01/01,CRU,NA
1956/02/01,CRU,NA
1956/03/01,CRU,NA
1956/04/01,CRU,NA
1956/05/01,CRU,NA
1956/06/01,CRU,NA
1956/07/01,CRU,NA
1956/08/01,CRU,NA
1956/09/01,CRU,NA
1956/10/01,CRU,NA
1956/11/01,CRU,NA
1956/12/01,CRU,NA
1957/01/01,CRU,NA
1957/02/01,CRU,NA
1957/03/01,CRU,NA
1957/04/01,CRU,NA
1957/05/01,CRU,NA
1957/06/01,CRU,NA
1957/07/01,CRU,NA
1957/08/01,CRU,NA
1957/09/01,CRU,NA
1957/10/01,CRU,NA
1957/11/01,CRU,NA
1957/12/01,CRU,NA
1958/01/01,CRU,NA
1958/02/01,CRU,NA
1958/03/01,CRU,NA
1958/04/01,CRU,NA
1958/05/01,CRU,NA
1958/06/01,CRU,NA
1958/07/01,CRU,NA
1958/08/01,CRU,NA
1958/09/01,CRU,NA
1958/10/01,CRU,NA
1958/11/01,CRU,NA
1958/12/01,CRU,NA
1959/01/01,CRU,NA
1959/02/01,CRU,NA
1959/03/01,CRU,NA
1959/04/01,CRU,NA
1959/05/01,CRU,NA
1959/06/01,CRU,NA
1959/07/01,CRU,NA
1959/08/01,CRU,NA
1959/09/01,CRU,NA
1959/10/01,CRU,NA
1959/11/01,CRU,NA
1959/12/01,CRU,NA
1960/01/01,CRU,NA
1960/02/01,CRU,NA
1960/03/01,CRU,NA
1960/04/01,CRU,NA
1960/05/01,CRU,NA
1960/06/01,CRU,NA
1960/07/01,CRU,NA
1960/08/01,CRU,NA
1960/09/01,CRU,NA
1960/10/01,CRU,NA
1960/11/01,CRU,NA
1960/12/01,CRU,NA
1961/01/01,CRU,0.6
1961/02/01,CRU,100.7
1961/03/01,CRU,10.2
1961/04/01,CRU,141
1961/05/01,CRU,65.2
1961/06/01,CRU,84.1
1961/07/01,CRU,302.9
1961/08/01,CRU,44
1961/09/01,CRU,278.2
1961/10/01,CRU,210.3
1961/11/01,CRU,251.8
1961/12/01,CRU,147.8
1962/01/01,CRU,43
1962/02/01,CRU,16.7
1962/03/01,CRU,124.8
1962/04/01,CRU,37.3
1962/05/01,CRU,214.6
1962/06/01,CRU,35
1962/07/01,CRU,40.1
1962/08/01,CRU,52.2
1962/09/01,CRU,16.1
1962/10/01,CRU,2.4
1962/11/01,CRU,25
1962/12/01,CRU,60.1
1963/01/01,CRU,17.4
1963/02/01,CRU,5.3
1963/03/01,CRU,69.1
1963/04/01,CRU,288.6
1963/05/01,CRU,209.7
1963/06/01,CRU,219.1
1963/07/01,CRU,77.3
1963/08/01,CRU,39.1
1963/09/01,CRU,45.6
1963/10/01,CRU,65.3
1963/11/01,CRU,87.4
1963/12/01,CRU,70.5
1964/01/01,CRU,60.3
1964/02/01,CRU,8
1964/03/01,CRU,20.1
1964/04/01,CRU,159.7
1964/05/01,CRU,281.5
1964/06/01,CRU,81.5
1964/07/01,CRU,39.9
1964/08/01,CRU,38.9
1964/09/01,CRU,39.1
1964/10/01,CRU,29.6
1964/11/01,CRU,4.8
1964/12/01,CRU,165.4
1965/01/01,CRU,28.4
1965/02/01,CRU,0
1965/03/01,CRU,7.8
1965/04/01,CRU,51.5
1965/05/01,CRU,252.7
1965/06/01,CRU,86.8
1965/07/01,CRU,22.8
1965/08/01,CRU,51.7
1965/09/01,CRU,44.7
1965/10/01,CRU,101.3
1965/11/01,CRU,130
1965/12/01,CRU,16.3
1966/01/01,CRU,73.9
1966/02/01,CRU,9
1966/03/01,CRU,56.3
1966/04/01,CRU,210.1
1966/05/01,CRU,214.3
1966/06/01,CRU,175.7
1966/07/01,CRU,29.8
1966/08/01,CRU,74.5
1966/09/01,CRU,23.6
1966/10/01,CRU,59.1
1966/11/01,CRU,210.7
1966/12/01,CRU,31.1
1967/01/01,CRU,0.6
1967/02/01,CRU,7.2
1967/03/01,CRU,7.4
1967/04/01,CRU,231.8
1967/05/01,CRU,186.3
1967/06/01,CRU,113.5
1967/07/01,CRU,101.1
1967/08/01,CRU,167.5
1967/09/01,CRU,226.4
1967/10/01,CRU,228.9
1967/11/01,CRU,162.3
1967/12/01,CRU,2.7
1968/01/01,CRU,0
1968/02/01,CRU,25.4
1968/03/01,CRU,154
1968/04/01,CRU,264.7
1968/05/01,CRU,319.3
1968/06/01,CRU,373.7
1968/07/01,CRU,88.9
1968/08/01,CRU,30.3
1968/09/01,CRU,53.2
1968/10/01,CRU,32.5
1968/11/01,CRU,177.9
1968/12/01,CRU,66
1969/01/01,CRU,7.4
1969/02/01,CRU,25.3
1969/03/01,CRU,34.7
1969/04/01,CRU,31.5
1969/05/01,CRU,171.9
1969/06/01,CRU,73.1
1969/07/01,CRU,53.3
1969/08/01,CRU,81
1969/09/01,CRU,17.5
1969/10/01,CRU,100.2
1969/11/01,CRU,105.2
1969/12/01,CRU,10.4
1970/01/01,CRU,34.2
1970/02/01,CRU,0
1970/03/01,CRU,111.3
1970/04/01,CRU,151.4
1970/05/01,CRU,251.4
1970/06/01,CRU,31.2
1970/07/01,CRU,73.1
1970/08/01,CRU,36
1970/09/01,CRU,13.2
1970/10/01,CRU,5.1
1970/11/01,CRU,10.6
1970/12/01,CRU,34.9
1971/01/01,CRU,0.2
1971/02/01,CRU,0
1971/03/01,CRU,47.5
1971/04/01,CRU,104.3
1971/05/01,CRU,224.4
1971/06/01,CRU,236.7
1971/07/01,CRU,100.1
1971/08/01,CRU,15.3
1971/09/01,CRU,47.6
1971/10/01,CRU,12.9
1971/11/01,CRU,30.5
1971/12/01,CRU,7.9
1972/01/01,CRU,34.5
1972/02/01,CRU,12.7
1972/03/01,CRU,14.1
1972/04/01,CRU,55
1972/05/01,CRU,303.1
1972/06/01,CRU,8.6
1972/07/01,CRU,100.7
1972/08/01,CRU,41.1
1972/09/01,CRU,121.3
1972/10/01,CRU,131.1
1972/11/01,CRU,135.2
1972/12/01,CRU,117.6
1973/01/01,CRU,3.2
1973/02/01,CRU,7.4
1973/03/01,CRU,28.2
1973/04/01,CRU,197.8
1973/05/01,CRU,242.5
1973/06/01,CRU,165.1
1973/07/01,CRU,10.4
1973/08/01,CRU,72.4
1973/09/01,CRU,13.6
1973/10/01,CRU,57.1
1973/11/01,CRU,76
1973/12/01,CRU,7.4
1974/01/01,CRU,4.8
1974/02/01,CRU,0.5
1974/03/01,CRU,4.5
1974/04/01,CRU,150.2
1974/05/01,CRU,97.2
1974/06/01,CRU,106
1974/07/01,CRU,210.8
1974/08/01,CRU,17.5
1974/09/01,CRU,1.3
1974/10/01,CRU,10.9
1974/11/01,CRU,14.4
1974/12/01,CRU,5.7
