Dataset,nVar,Year,Month,Prec,Tavg,Tmin,Tmax
Princeton,1,2008,5,356.717770907375,25.153,21.712,29.093
Princeton,1,2008,6,85.1959376686066,25.004,21.441,29.283
Princeton,1,2008,7,65.090472651596,23.795,19.826,28.231
Princeton,1,2008,8,20.8653952127358,23.358,19.539,27.675
Princeton,1,2008,9,44.7459973310912,23.796,19.315,28.689
Princeton,1,2008,10,16.0177759803272,25.311,20.28,30.495
Princeton,1,2008,11,31.4758184293943,26.081,20.875,31.484
Princeton,1,2008,12,41.9575437903252,26.799,22.37,31.512
Princeton,1,2009,1,2.17659455792113,27.043,22.147,32.636
Princeton,1,2009,2,74.7250277918045,27.579,22.761,32.75
Princeton,1,2009,3,19.2618479554472,27.4,22.311,32.888
Princeton,1,2009,4,98.6909063483487,26.704,22.294,31.422
Princeton,1,2009,5,28.2356615177675,25.924,22.236,30.285
Princeton,1,2009,6,36.2003753883112,24.333,20.451,28.971
Princeton,1,2009,7,116.9599149862,23.524,19.97,27.676
Princeton,1,2009,8,29.0199854488166,23.395,19.724,27.595
Princeton,1,2009,9,219.658525323689,23.805,19.917,28.025
Princeton,1,2009,10,112.062672880137,24.891,20.881,29.172
Princeton,1,2009,11,220.423719402762,25.662,22.004,29.528
Princeton,1,2009,12,108.236702484775,26.614,22.548,30.867
Princeton,1,2010,1,75.8077868406266,25.243,21.132,30.275
Princeton,1,2010,2,0,26.209,21.448,31.879
Princeton,1,2010,3,4.55727247782978,27.18,22.163,32.844
Princeton,1,2010,4,85.7390551306984,25.995,21.874,30.674
Princeton,1,2010,5,123.214114140208,24.823,20.964,29.287
Princeton,1,2010,6,45.285510074422,23.005,18.986,27.735
Princeton,1,2010,7,15.4628843515687,22.695,18.643,27.256
Princeton,1,2010,8,29.0126603814735,22.967,19.041,27.492
Princeton,1,2010,9,65.2563733075844,23.796,19.685,28.432
Princeton,1,2010,10,95.7319404160653,24.863,20.718,29.281
Princeton,1,2010,11,202.113682793144,25.862,21.753,30.243
Princeton,1,2010,12,18.4304383507836,26.276,22.144,30.852
Princeton,1,2011,1,3.78938881228176,27.266,22.942,32.646
Princeton,1,2011,2,0,26.98,22.381,32.234
Princeton,1,2011,3,36.3905144817942,27.623,23.099,32.943
Princeton,1,2011,4,195.221693201217,26.595,22.526,31.387
Princeton,1,2011,5,202.989945195488,24.952,21.662,28.912
Princeton,1,2011,6,45.4610330857653,23.904,20.081,28.522
Princeton,1,2011,7,86.0964832385409,23.224,19.863,27.176
Princeton,1,2011,8,29.0717958516582,23.367,19.679,27.502
Princeton,1,2011,9,92.0725166889564,24.096,20.062,28.529
Princeton,1,2011,10,52.8369292051993,25.781,21.874,29.89
Princeton,1,2011,11,170.862111122733,25.69,21.721,30.031
Princeton,1,2011,12,223.475259464646,25.843,22.075,29.998
Princeton,1,2012,1,0.788898402298145,26.447,21.554,31.855
Princeton,1,2012,2,0.0553050384640914,26.38,21.431,32.167
Princeton,1,2012,3,16.0006386046943,27.162,22.232,32.546
Princeton,1,2012,4,227.063045040024,26.671,22.31,31.309
Princeton,1,2012,5,119.127766262181,25.015,21.205,29.279
Princeton,1,2012,6,96.1463172019349,23.271,19.734,27.518
Princeton,1,2012,7,46.6281583511239,22.782,19.19,27.003
Princeton,1,2012,8,11.2622562825279,22.559,18.85,26.854
Princeton,1,2012,9,26.4630103558569,23.524,19.105,28.376
Princeton,1,2012,10,133.297710908726,24.481,20.114,29.013
Princeton,1,2012,11,129.809270999209,24.444,20.269,28.831
Princeton,1,2012,12,102.226029235789,25.181,20.851,29.679
Princeton,1,2013,1,19.975424313637,26.824,22.088,32.021
Princeton,1,2013,2,0.461102334600402,26.809,21.919,32.555
Princeton,1,2013,3,1.77082313942029,27.8,22.528,33.54
Princeton,1,2013,4,88.002743003058,27.133,22.578,32.184
Princeton,1,2013,5,171.352241070533,25.433,21.878,29.456
Princeton,1,2013,6,17.1840095571976,24.004,20.239,28.612
Princeton,1,2013,7,52.5969243128655,22.986,18.948,27.684
Princeton,1,2013,8,93.1713396938024,23.477,19.822,27.616
Princeton,1,2013,9,23.5199090186678,24.324,19.696,29.383
Princeton,1,2013,10,14.6728893870419,25.519,20.815,30.491
Princeton,1,2013,11,25.4695530080716,25.662,20.859,30.699
Princeton,1,2013,12,17.5884852893032,26.905,22.425,31.624
Princeton,1,2014,1,9.83475316267355,26.714,21.621,31.849
Princeton,1,2014,2,3.80730970852283,27.017,22.145,32.412
Princeton,1,2014,3,50.5059596806905,26.49,21.787,31.653
Princeton,1,2014,4,88.9824075743619,26.395,22.49,30.635
Princeton,1,2014,5,54.56219175433,25.014,20.961,29.457
Princeton,1,2014,6,49.5487116353008,23.086,18.985,27.991
Princeton,1,2014,7,21.4325091547394,23.358,19.326,28.144
Princeton,1,2014,8,50.1054493708984,23.077,18.962,27.661
Princeton,1,2014,9,91.5426436918039,23.796,19.379,28.57
Princeton,1,2014,10,203.436513385197,25.081,20.752,29.68
Princeton,1,2014,11,174.870565284892,25.724,21.544,29.925
Princeton,1,2014,12,118.145807224262,25.714,21.485,30.288
Princeton,1,2015,1,4.10835065643719,26.714,21.77,32.127
Princeton,1,2015,2,0.0141492164641935,26.909,21.916,32.884
Princeton,1,2015,3,83.2460630157258,26.971,21.618,32.948
Princeton,1,2015,4,164.374907509437,25.453,21.155,30.155
Princeton,1,2015,5,363.154616001607,24.181,20.758,28.115
Princeton,1,2015,6,58.0858040856701,23.3,19.622,27.715
Princeton,1,2015,7,86.9382855602142,22.391,18.716,26.68
Princeton,1,2015,8,25.5787538513278,22.125,18.112,26.797
Princeton,1,2015,9,62.2772082329099,22.511,18.056,27.422
Princeton,1,2015,10,162.5782840685,24.148,20.021,28.668
Princeton,1,2015,11,118.77079513739,25.853,21.424,30.495
Princeton,1,2015,12,107.303603965566,26.214,21.76,31.028
Princeton,1,2016,1,28.1590241954949,25.605,21.131,30.68
Princeton,1,2016,2,0.0807809454034238,26.351,21.219,32.237
Princeton,1,2016,3,87.0072811974618,26.971,21.988,32.705
Princeton,1,2016,4,108.01520849629,25.705,21.065,30.629
Princeton,1,2016,5,94.6261068957732,24.362,20.595,29.034
Princeton,1,2016,6,37.0040578332537,23.405,19.623,28.023
Princeton,1,2016,7,32.1974393997179,23.096,19.097,27.927
Princeton,1,2016,8,41.488808837799,22.596,18.774,27.062
Princeton,1,2016,9,27.0349192169055,23.795,19.28,28.84
Princeton,1,2016,10,79.476944731894,24.673,19.994,29.715
Princeton,1,2016,11,144.499999842894,25.119,20.59,30.077
Princeton,1,2016,12,118.507503235892,25.543,21.172,30.165
Princeton,1,2017,1,15.2764198204267,26.213,21.727,31.631
Princeton,1,2017,2,3.0968562923739,26.651,22.038,32.216
Princeton,1,2017,3,114.154603719073,27.333,23.015,32.134
Princeton,1,2017,4,259.751807770424,25.795,21.797,30.304
Princeton,1,2017,5,116.03570454661,24.361,20.886,28.393
Princeton,1,2017,6,68.2331703172437,23.342,19.462,27.655
Princeton,1,2017,7,31.7633280233733,23.105,19.176,27.672
Princeton,1,2017,8,47.6116024953711,22.776,18.677,27.246
Princeton,1,2017,9,19.0038211101909,23.395,18.785,28.396
Princeton,1,2017,10,40.2809525704601,25.01,20.234,30.175
Princeton,1,2017,11,104.278824374505,25.882,22.411,29.443
Princeton,1,2017,12,58.0582959410969,25.48,21.339,29.908
Princeton,1,2018,1,20.1031048630742,27.243,22.603,32.612
Princeton,1,2018,2,15.7788250768828,26.98,22.203,32.596
Princeton,1,2018,3,73.1503811378213,27.452,22.991,32.569
Princeton,1,2018,4,165.684930190172,26.162,22.205,30.816
Princeton,1,2018,5,121.221296000541,24.924,21.486,29.039
Princeton,1,2018,6,63.3546229844725,23.733,20.203,27.923
Princeton,1,2018,7,57.096383428342,23.096,19.644,27.127
