"Mwache Weap verificaiton run (Oct 17, 2014) with Mwache_4_14_test all units are in cubic meters per month // Single user system",,,,,,,,
Year,Month,Date,Inflow,Nevap,Rel_Flood, Demand,Supply,Storage
2053,2,Feb-53,1340170,336000,0,5942916,5942916,27245233
2053,3,Mar-53,3911440,202500,0,6579657,6579657,24374517
2053,4,Apr-53,15171600,66000,0,6367410,6367410,33112707
2053,5,May-53,3196720,-46000,0,6579657,6579657,29775770
2053,6,Jun-53,4694680,76500,0,6367410,6367410,28026540
2053,7,Jul-53,2583520,67500,0,6579657,6579657,23962903
2053,8,Aug-53,2481570,111000,0,6579657,5144000,21189474
2053,9,Sep-53,2775320,156000,0,6367410,3451600,20357194
2053,10,Oct-53,1903840,115500,0,6579657,2038100,20107434
2053,11,Nov-53,6560590,67500,0,6367410,6367410,20233114
2053,12,Dec-53,11941000,132000,0,6579657,6579657,25462457
2054,1,Jan-54,7888240,198000,0,6579657,6579657,26573040
2054,2,Feb-54,1061430,252000,0,5942916,5410000,21972471
2054,3,Mar-54,8467490,202500,0,6579657,6579657,23657804
2054,4,Apr-54,11598600,66000,0,6367410,6367410,28822994
2054,5,May-54,6956600,-34500,0,6579657,6579657,29234437
2054,6,Jun-54,3632960,76500,0,6367410,6367410,26423487
2054,7,Jul-54,3042790,67500,0,6579657,6579657,22819120
2054,8,Aug-54,3438670,111000,0,6579657,5300500,20846291
2054,9,Sep-54,2555280,156000,0,6367410,2991300,20254271
2054,10,Oct-54,4573370,115500,0,6579657,4635368,20076773
2054,11,Nov-54,13960200,67500,0,6367410,6367410,27602063
2054,12,Dec-54,15873900,132000,0,6579657,6579657,36764307
2055,1,Jan-55,12049300,264000,0,6579657,6579657,41969950
2055,2,Feb-55,9429010,336000,0,5942916,5942916,45120044
2055,3,Mar-55,37089900,270000,10360000,6579657,6579657,65000000
2055,4,Apr-55,15852200,119483,9365300,6367410,6367410,65000000
2055,5,May-55,9331940,-62457,2814700,6579657,6579657,65000000
2055,6,Jun-55,5976580,138491,0,6367410,6367410,64470679
2055,7,Jul-55,3671160,122198,0,6579657,6579657,61439984
2055,8,Aug-55,3310200,200948,0,6579657,6579657,57969579
2055,9,Sep-55,3509710,282414,0,6367410,6367410,54829466
2055,10,Oct-55,6129580,209095,0,6579657,6579657,54170295
2055,11,Nov-55,5919070,122198,0,6367410,6367410,53599757
2055,12,Dec-55,20993600,238966,2774700,6579657,6579657,65000000
2056,1,Jan-56,7894230,358448,956130,6579657,6579657,65000000
2056,2,Feb-56,2031030,456207,0,5942916,5942916,60631908
2056,3,Mar-56,7433600,366595,0,6579657,6579657,61119257
2056,4,Apr-56,3991070,119483,0,6367410,6367410,58623435
2056,5,May-56,21736000,-62457,8842200,6579657,6579657,65000000
2056,6,Jun-56,9477050,138491,2971100,6367410,6367410,65000000
2056,7,Jul-56,9926880,122198,3225000,6579657,6579657,65000000
2056,8,Aug-56,10357600,200948,3577000,6579657,6579657,65000000
2056,9,Sep-56,3873420,282414,0,6367410,6367410,62223597
2056,10,Oct-56,5187400,209095,0,6579657,6579657,60622246
2056,11,Nov-56,5532320,122198,0,6367410,6367410,59664958
2056,12,Dec-56,8190930,238966,0,6579657,6579657,61037266
2057,1,Jan-57,2332720,358448,0,6579657,6579657,56431881
2057,2,Feb-57,1898120,456207,0,5942916,5942916,51930879
2057,3,Mar-57,1825740,366595,0,6579657,6579657,46810368
2057,4,Apr-57,6241250,88000,0,6367410,6367410,46596208
2057,5,May-57,7299520,-46000,0,6579657,6579657,47362071
2057,6,Jun-57,3902540,102000,0,6367410,6367410,44795201
2057,7,Jul-57,5211040,90000,0,6579657,6579657,43336584
2057,8,Aug-57,2647650,148000,0,6579657,6579657,39256578
2057,9,Sep-57,2259420,208000,0,6367410,6367410,34940589
2057,10,Oct-57,1963490,154000,0,6579657,6579657,30170423
2057,11,Nov-57,13106900,90000,0,6367410,6367410,36819913
2057,12,Dec-57,19962300,176000,0,6579657,6579657,50026556
2058,1,Jan-58,51436500,270997,29612000,6579657,6579657,65000000
2058,2,Feb-58,2320700,456207,0,5942916,5942916,60921578
2058,3,Mar-58,3988090,366595,0,6579657,6579657,57963417
2058,4,Apr-58,8018810,119483,0,6367410,6367410,59495335
2058,5,May-58,9940650,-62457,0,6579657,6579657,62918785
2058,6,Jun-58,6527220,138491,0,6367410,6367410,62940104
2058,7,Jul-58,3812560,122198,0,6579657,6579657,60050809
2058,8,Aug-58,3440060,200948,0,6579657,6579657,56710264
2058,9,Sep-58,3114160,282414,0,6367410,6367410,53174601
2058,10,Oct-58,3521470,209095,0,6579657,6579657,49907320
2058,11,Nov-58,5289660,90000,0,6367410,6367410,48739570
2058,12,Dec-58,6357660,176000,0,6579657,6579657,48341573
2059,1,Jan-59,2084840,264000,0,6579657,6579657,43582757
2059,2,Feb-59,1314670,336000,0,5942916,5942916,38618511
2059,3,Mar-59,2136270,270000,0,6579657,6579657,33905124
2059,4,Apr-59,14940100,88000,0,6367410,6367410,42389814
2059,5,May-59,17612000,-46000,0,6579657,6579657,53468157
2059,6,Jun-59,6688110,138491,0,6367410,6367410,53650366
2059,7,Jul-59,9793830,122198,0,6579657,6579657,56742341
2059,8,Aug-59,5143390,200948,0,6579657,6579657,55105126
2059,9,Sep-59,10516400,282414,0,6367410,6367410,58971703
2059,10,Oct-59,6816910,209095,0,6579657,6579657,58999862
2059,11,Nov-59,26745400,122198,14256000,6367410,6367410,65000000
2059,12,Dec-59,52016800,238966,45198000,6579657,6579657,65000000
2060,1,Jan-60,5251330,358448,0,6579657,6579657,63313225
2060,2,Feb-60,6502940,456207,0,5942916,5942916,63417043
2060,3,Mar-60,11207900,366595,2678700,6579657,6579657,65000000
2060,4,Apr-60,18490500,119483,12004000,6367410,6367410,65000000
2060,5,May-60,21724900,-62457,15208000,6579657,6579657,65000000
