"Mwache Weap verificaiton run (Oct 17, 2014) with Mwache_4_14_test all units are in cubic meters per month // Single user system",,,,,,,,
Year,Month,Date,Inflow,Nevap,Rel_Flood, Demand,Supply,Storage
2026,5,26-May,2622980,-46000,0,6579657,6579657,37159667
2026,6,26-Jun,2381090,102000,0,6367410,6367410,33071347
2026,7,26-Jul,5144530,90000,0,6579657,6579657,31546220
2026,8,26-Aug,2890570,148000,0,6579657,6579657,27709134
2026,9,26-Sep,20513200,156000,0,6367410,6367410,41698924
2026,10,26-Oct,16845700,154000,0,6579657,6579657,51810968
2026,11,26-Nov,54773200,122198,35095000,6367410,6367410,65000000
2026,12,26-Dec,32685100,238966,25866000,6579657,6579657,65000000
2027,1,27-Jan,47934000,358448,40996000,6579657,6579657,65000000
2027,2,27-Feb,3383640,456207,0,5942916,5942916,61984518
2027,3,27-Mar,24224300,366595,14263000,6579657,6579657,65000000
2027,4,27-Apr,16292900,119483,9806000,6367410,6367410,65000000
2027,5,27-May,13313700,-62457,6796500,6579657,6579657,65000000
2027,6,27-Jun,7305990,138491,800090,6367410,6367410,65000000
2027,7,27-Jul,6909670,122198,207820,6579657,6579657,65000000
2027,8,27-Aug,5331750,200948,0,6579657,6579657,63551145
2027,9,27-Sep,4056600,282414,0,6367410,6367410,60957922
2027,10,27-Oct,2946210,209095,0,6579657,6579657,57115381
2027,11,27-Nov,3230570,122198,0,6367410,6367410,53856343
2027,12,27-Dec,5708450,238966,0,6579657,6579657,52746171
2028,1,28-Jan,4215190,358448,0,6579657,6579657,50023256
2028,2,28-Feb,1848330,342128,0,5942916,5942916,45586543
2028,3,28-Mar,8597930,270000,0,6579657,6579657,47334817
2028,4,28-Apr,36395800,88000,12275000,6367410,6367410,65000000
2028,5,28-May,15349500,-62457,8832300,6579657,6579657,65000000
2028,6,28-Jun,10124700,138491,3618800,6367410,6367410,65000000
2028,7,28-Jul,6161930,122198,0,6579657,6579657,64460075
2028,8,28-Aug,7110710,200948,0,6579657,6579657,64790180
2028,9,28-Sep,4097100,282414,0,6367410,6367410,62237457
2028,10,28-Oct,4624560,209095,0,6579657,6579657,60073266
2028,11,28-Nov,11303400,122198,0,6367410,6367410,64887058
2028,12,28-Dec,7907660,238966,976100,6579657,6579657,65000000
2029,1,29-Jan,13674700,358448,6736600,6579657,6579657,65000000
2029,2,Feb-29,2321070,456207,0,5942916,5942916,60921948
2029,3,29-Mar,3223960,366595,0,6579657,6579657,57199657
2029,4,29-Apr,11284000,119483,0,6367410,6367410,61996765
2029,5,29-May,9679310,-62457,158870,6579657,6579657,65000000
2029,6,29-Jun,4544630,138491,0,6367410,6367410,63038729
2029,7,29-Jul,2906320,122198,0,6579657,6579657,59243194
2029,8,29-Aug,3020890,200948,0,6579657,6579657,55483479
2029,9,29-Sep,2711910,282414,0,6367410,6367410,51545566
2029,10,29-Oct,2457160,209095,0,6579657,6579657,47213975
2029,11,29-Nov,1625690,90000,0,6367410,6367410,42382255
2029,12,29-Dec,11862100,176000,0,6579657,6579657,47488698
2030,1,30-Jan,19451500,264000,0,6579657,6579657,60096541
2030,2,Feb-30,1316690,456207,0,5942916,5942916,55014109
2030,3,30-Mar,715139,366595,0,6579657,6579657,48782997
2030,4,30-Apr,6172320,88000,0,6367410,6367410,48499907
2030,5,30-May,6785870,-46000,0,6579657,6579657,48752120
2030,6,30-Jun,3757640,102000,0,6367410,6367410,46040350
2030,7,30-Jul,2278840,90000,0,6579657,6579657,41649533
2030,8,30-Aug,2581570,148000,0,6579657,6579657,37503446
2030,9,30-Sep,3809040,208000,0,6367410,6367410,34737076
2030,10,30-Oct,5929760,154000,0,6579657,6579657,33933180
2030,11,30-Nov,25180000,90000,0,6367410,6367410,52655770
2030,12,30-Dec,3810760,238966,0,6579657,6579657,49647908
2031,1,31-Jan,29988100,264000,7792400,6579657,6579657,65000000
2031,2,Feb-31,2188220,456207,0,5942916,5942916,60789098
2031,3,31-Mar,12846100,366595,1688900,6579657,6579657,65000000
2031,4,Apr-31,26686800,119483,20200000,6367410,6367410,65000000
2031,5,31-May,27400600,-62457,20883000,6579657,6579657,65000000
2031,6,Jun-31,15646200,138491,9140300,6367410,6367410,65000000
2031,7,31-Jul,8130260,122198,1428400,6579657,6579657,65000000
2031,8,31-Aug,6817280,200948,36675,6579657,6579657,65000000
2031,9,Sep-31,4114650,282414,0,6367410,6367410,62464827
2031,10,31-Oct,9339720,209095,15796,6579657,6579657,65000000
2031,11,Nov-31,14238300,122198,7748700,6367410,6367410,65000000
2031,12,31-Dec,7345540,238966,526920,6579657,6579657,65000000
2032,1,Jan-32,2224860,358448,0,6579657,6579657,60286755
2032,2,Feb-32,5111630,456207,0,5942916,5942916,58999263
2032,3,Mar-32,935451,366595,0,6579657,6579657,52988463
2032,4,Apr-32,10595400,119483,0,6367410,6367410,57096971
2032,5,May-32,9617420,-62457,0,6579657,6579657,60197191
2032,6,Jun-32,6323840,138491,0,6367410,6367410,60015130
2032,7,Jul-32,4409390,122198,0,6579657,6579657,57722665
2032,8,Aug-32,10859700,200948,0,6579657,6579657,61801760
2032,9,Sep-32,20233300,282414,10385000,6367410,6367410,65000000
2032,10,Oct-32,27107200,209095,20318000,6579657,6579657,65000000
2032,11,Nov-32,55578200,122198,49089000,6367410,6367410,65000000
2032,12,Dec-32,4458240,238966,0,6579657,6579657,62639618
2033,1,Jan-33,2304040,358448,0,6579657,6579657,58005553
2033,2,Feb-33,16903900,456207,3510300,5942916,5942916,65000000
2033,3,Mar-33,70619000,366595,63673000,6579657,6579657,65000000
2033,4,Apr-33,74486400,119483,68000000,6367410,6367410,65000000
2033,5,May-33,77452400,-62457,70935000,6579657,6579657,65000000
2033,6,Jun-33,40052100,138491,33546000,6367410,6367410,65000000
2033,7,Jul-33,28447600,122198,21746000,6579657,6579657,65000000
2033,8,Aug-33,18459300,200948,11679000,6579657,6579657,65000000
2033,9,Sep-33,13573100,282414,6923300,6367410,6367410,65000000
2033,10,Oct-33,15260800,209095,8472000,6579657,6579657,65000000
2033,11,Nov-33,108640000,122198,102150000,6367410,6367410,65000000
2033,12,Dec-33,29314500,238966,22496000,6579657,6579657,65000000
2034,1,Jan-34,10187700,358448,3249600,6579657,6579657,65000000
2034,2,Feb-34,22792500,456207,16393000,5942916,5942916,65000000
2034,3,Mar-34,25525000,366595,18579000,6579657,6579657,65000000
2034,4,Apr-34,5683870,119483,0,6367410,6367410,64196978
2034,5,May-34,13220200,-62457,5900000,6579657,6579657,65000000
2034,6,Jun-34,9484600,138491,2978700,6367410,6367410,65000000
2034,7,Jul-34,8625790,122198,1923900,6579657,6579657,65000000
2034,8,Aug-34,9141920,200948,2361300,6579657,6579657,65000000
2034,9,Sep-34,5414160,282414,0,6367410,6367410,63764337
2034,10,Oct-34,7607770,209095,0,6579657,6579657,64583356
2034,11,Nov-34,23944500,122198,17038000,6367410,6367410,65000000
2034,12,Dec-34,4246840,238966,0,6579657,6579657,62428218
2035,1,Jan-35,6941880,358448,0,6579657,6579657,62431993
2035,2,Feb-35,2273130,456207,0,5942916,5942916,58306001
